Date,Open,High,Low,Close,Volume,Adj Close
2016-09-06,18493.400391,18551.539062,18450.320312,18538.119141,83710000,18538.119141
2016-09-02,18466.009766,18544.759766,18439.099609,18491.960938,74350000,18491.960938
2016-09-01,18396.570312,18430.050781,18295.480469,18419.300781,74780000,18419.300781
2016-08-31,18436.699219,18439.679688,18333.560547,18400.880859,98250000,18400.880859
2016-08-30,18491.279297,18514.289062,18408.519531,18454.300781,68920000,18454.300781
2016-08-29,18421.289062,18523.089844,18419.919922,18502.990234,64480000,18502.990234
2016-08-26,18467.919922,18572.089844,18335.339844,18395.400391,78730000,18395.400391
2016-08-25,18471.210938,18497.679688,18431.460938,18448.410156,64480000,18448.410156
2016-08-24,18537.50,18539.150391,18448.269531,18481.480469,72270000,18481.480469
2016-08-23,18568.939453,18631.599609,18545.519531,18547.300781,73990000,18547.300781
2016-08-22,18535.859375,18570.919922,18466.859375,18529.419922,73450000,18529.419922
2016-08-19,18585.169922,18585.169922,18491.240234,18552.570312,93170000,18552.570312
2016-08-18,18566.539062,18600.820312,18533.289062,18597.699219,70740000,18597.699219
2016-08-17,18537.089844,18582.349609,18468.679688,18573.939453,71000000,18573.939453
2016-08-16,18614.480469,18614.859375,18550.650391,18552.019531,67570000,18552.019531
2016-08-15,18588.589844,18722.609375,18559.929688,18636.050781,62350000,18636.050781
2016-08-12,18595.650391,18606.060547,18535.859375,18576.470703,61580000,18576.470703
2016-08-11,18519.080078,18638.339844,18519.080078,18613.519531,71470000,18613.519531
2016-08-10,18541.480469,18561.75,18468.779297,18495.660156,62780000,18495.660156
2016-08-09,18538.050781,18585.320312,18507.75,18533.050781,60090000,18533.050781
2016-08-08,18541.890625,18569.310547,18502.029297,18529.289062,71810000,18529.289062
2016-08-05,18402.800781,18543.529297,18402.800781,18543.529297,92420000,18543.529297
2016-08-04,18351.429688,18397.869141,18325.169922,18352.050781,64500000,18352.050781
2016-08-03,18313.080078,18355.00,18283.230469,18355.00,78550000,18355.00
2016-08-02,18401.150391,18403.650391,18247.789062,18313.769531,89680000,18313.769531
2016-08-01,18434.50,18467.029297,18355.75,18404.509766,83470000,18404.509766
2016-07-29,18442.519531,18466.550781,18371.119141,18432.240234,111550000,18432.240234
2016-07-28,18461.009766,18483.259766,18368.820312,18456.349609,85750000,18456.349609
2016-07-27,18473.269531,18542.390625,18430.939453,18472.169922,111370000,18472.169922
2016-07-26,18497.369141,18522.470703,18387.220703,18473.75,85370000,18473.75
2016-07-25,18554.490234,18555.689453,18452.619141,18493.060547,76810000,18493.060547
2016-07-22,18524.150391,18571.300781,18491.589844,18570.849609,87710000,18570.849609
2016-07-21,18589.960938,18590.439453,18469.669922,18517.230469,86800000,18517.230469
2016-07-20,18582.699219,18622.009766,18555.650391,18595.029297,93230000,18595.029297
2016-07-19,18503.119141,18562.529297,18495.109375,18559.009766,85840000,18559.009766
2016-07-18,18521.550781,18556.130859,18489.839844,18533.050781,75540000,18533.050781
2016-07-15,18508.880859,18557.429688,18471.619141,18516.550781,123690000,18516.550781
2016-07-14,18414.300781,18537.570312,18414.300781,18506.410156,87050000,18506.410156
2016-07-13,18356.779297,18390.160156,18315.759766,18372.119141,80920000,18372.119141
2016-07-12,18259.119141,18371.949219,18259.119141,18347.669922,90170000,18347.669922
2016-07-11,18161.529297,18283.900391,18161.529297,18226.929688,80880000,18226.929688
2016-07-08,17971.220703,18166.769531,17971.220703,18146.740234,93460000,18146.740234
2016-07-07,17924.240234,17984.949219,17816.650391,17895.880859,81570000,17895.880859
2016-07-06,17807.470703,17926.910156,17713.449219,17918.619141,93000000,17918.619141
2016-07-05,17904.449219,17904.449219,17785.279297,17840.619141,103650000,17840.619141
2016-07-01,17924.240234,18002.380859,17916.910156,17949.369141,82160000,17949.369141
2016-06-30,17712.759766,17930.609375,17711.800781,17929.990234,133030000,17929.990234
2016-06-29,17456.019531,17704.509766,17456.019531,17694.679688,106380000,17694.679688
2016-06-28,17190.509766,17409.720703,17190.509766,17409.720703,112190000,17409.720703
2016-06-27,17355.210938,17355.210938,17063.080078,17140.240234,138740000,17140.240234
2016-06-24,17946.630859,17946.630859,17356.339844,17400.75,239000000,17400.75
2016-06-23,17844.109375,18011.070312,17844.109375,18011.070312,98070000,18011.070312
2016-06-22,17832.669922,17920.160156,17770.359375,17780.830078,89440000,17780.830078
2016-06-21,17827.330078,17877.839844,17799.800781,17829.730469,85130000,17829.730469
2016-06-20,17736.869141,17946.359375,17736.869141,17804.869141,99380000,17804.869141
2016-06-17,17733.439453,17733.439453,17602.779297,17675.160156,248680000,17675.160156
2016-06-16,17602.230469,17754.910156,17471.289062,17733.099609,91950000,17733.099609
2016-06-15,17703.650391,17762.960938,17629.009766,17640.169922,94130000,17640.169922
2016-06-14,17710.769531,17733.919922,17595.789062,17674.820312,93740000,17674.820312
2016-06-13,17830.50,17893.279297,17731.349609,17732.480469,101690000,17732.480469
2016-06-10,17938.820312,17938.820312,17812.339844,17865.339844,90540000,17865.339844
2016-06-09,17969.980469,18005.220703,17915.880859,17985.189453,69690000,17985.189453
2016-06-08,17931.910156,18016.00,17931.910156,18005.050781,71260000,18005.050781
